miRNA,Score_mi,Gene,Disease_name,Score_dis
hsa-let-7a-2-3p,90.98065,BAG3,cardiomyopathy,90.0
hsa-let-7g-3p,90.98065,BAG3,cardiomyopathy,90.0
hsa-miR-129-1-3p,82.9062,BAG3,cardiomyopathy,90.0
hsa-miR-129-2-3p,82.9062,BAG3,cardiomyopathy,90.0
hsa-miR-143-3p,87.3239,BAG3,cardiomyopathy,90.0
hsa-miR-4762-3p,87.4866,BAG3,cardiomyopathy,90.0
hsa-miR-4770,87.3239,BAG3,cardiomyopathy,90.0
hsa-miR-4797-5p,85.6202,BAG3,cardiomyopathy,90.0
hsa-miR-6088,82.3619,BAG3,cardiomyopathy,90.0
hsa-miR-646,93.96507,BAG3,cardiomyopathy,90.0
hsa-miR-6507-5p,85.8914,BAG3,cardiomyopathy,90.0
hsa-miR-656-3p,81.2403,BAG3,cardiomyopathy,90.0
hsa-miR-891b,97.399590461,BAG3,cardiomyopathy,90.0
hsa-let-7a-2-3p,90.56538,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7g-3p,90.56538,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4531,91.08203,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4666b,82.1856,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4775,94.9834458912,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-590-3p,88.250688339,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7a-2-3p,91.01346,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7g-3p,91.01346,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4531,91.30798,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4666b,83.0181,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4775,95.2317640702,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-590-3p,88.6861425353,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7a-2-3p,91.01346,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7g-3p,91.01346,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4531,91.30798,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4666b,83.0181,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4775,95.2317640702,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-590-3p,88.6861425353,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7a-2-3p,90.56538,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7g-3p,90.56538,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4531,91.08203,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4666b,82.1856,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4775,94.9834458912,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-590-3p,88.250688339,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-4437,80.1737193504,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
